suburb,state,sal_code,census_year,median_age,median_household_income_weekly,avg_household_size,owner_occupied_pct,renter_pct,household_composition_json
Ashcroft,NSW,SAL10098,2021,32.0,1089.0,3.1,43.4,51.3,"{""family_household_pct"": 73.6, ""non_family_household_pct"": 26.1, ""lone_person_pct"": 24.0}"
Ashfield,NSW,SAL10099,2021,36.0,1888.0,2.3,45.1,50.5,"{""family_household_pct"": 59.4, ""non_family_household_pct"": 40.6, ""lone_person_pct"": 32.1}"
Ashford,NSW,SAL10100,2021,54.0,855.0,2.2,71.8,20.1,"{""family_household_pct"": 61.9, ""non_family_household_pct"": 37.7, ""lone_person_pct"": 35.5}"
Ashley,NSW,SAL10101,2021,34.0,1899.0,2.7,77.3,18.2,"{""family_household_pct"": 71.8, ""non_family_household_pct"": 24.5, ""lone_person_pct"": 21.8}"
Ashmont,NSW,SAL10102,2021,36.0,994.0,2.3,46.4,49.9,"{""family_household_pct"": 62.4, ""non_family_household_pct"": 37.6, ""lone_person_pct"": 34.3}"
Ashtonfield,NSW,SAL10103,2021,39.0,2148.0,2.8,77.6,21.5,"{""family_household_pct"": 81.8, ""non_family_household_pct"": 17.7, ""lone_person_pct"": 16.2}"
Asquith,NSW,SAL10104,2021,36.0,2300.0,2.7,63.6,35.0,"{""family_household_pct"": 78.0, ""non_family_household_pct"": 21.8, ""lone_person_pct"": 19.0}"
Atholwood,NSW,SAL10105,2021,50.0,1406.0,2.6,77.3,18.2,"{""family_household_pct"": 77.3, ""non_family_household_pct"": 22.7, ""lone_person_pct"": 27.3}"
Attunga,NSW,SAL10106,2021,43.0,1428.0,2.5,82.7,12.1,"{""family_household_pct"": 72.9, ""non_family_household_pct"": 27.6, ""lone_person_pct"": 26.6}"
Auburn,NSW,SAL10107,2021,31.0,1533.0,3.3,45.0,49.9,"{""family_household_pct"": 72.0, ""non_family_household_pct"": 28.0, ""lone_person_pct"": 16.6}"
Auburn Vale,NSW,SAL10108,2021,47.0,1812.0,2.8,82.6,13.0,"{""family_household_pct"": 82.6, ""non_family_household_pct"": 15.2, ""lone_person_pct"": 15.2}"
Austinmer,NSW,SAL10109,2021,42.0,2586.0,2.8,79.1,19.3,"{""family_household_pct"": 80.5, ""non_family_household_pct"": 19.8, ""lone_person_pct"": 17.0}"
Austral,NSW,SAL10110,2021,31.0,2168.0,3.1,67.7,27.5,"{""family_household_pct"": 85.9, ""non_family_household_pct"": 14.0, ""lone_person_pct"": 13.0}"
Austral Eden,NSW,SAL10111,2021,52.0,1375.0,2.7,80.4,17.6,"{""family_household_pct"": 78.4, ""non_family_household_pct"": 13.7, ""lone_person_pct"": 21.6}"
Avalon Beach,NSW,SAL10112,2021,46.0,2481.0,2.8,82.7,15.7,"{""family_household_pct"": 78.6, ""non_family_household_pct"": 21.4, ""lone_person_pct"": 20.0}"
Avisford,NSW,SAL10113,2021,50.0,1124.0,2.4,89.5,0.0,"{""family_household_pct"": 73.7, ""non_family_household_pct"": 26.3, ""lone_person_pct"": 26.3}"
Avoca,NSW,SAL10114,2021,54.0,2250.0,2.7,89.9,4.3,"{""family_household_pct"": 87.0, ""non_family_household_pct"": 17.4, ""lone_person_pct"": 15.9}"
Avoca Beach,NSW,SAL10115,2021,43.0,2358.0,2.8,82.0,16.9,"{""family_household_pct"": 83.0, ""non_family_household_pct"": 17.2, ""lone_person_pct"": 16.4}"
Avon,NSW,SAL10116,2021,0.0,0.0,0.0,,,
Avondale,NSW,SAL10117,2021,40.0,1524.0,2.4,72.7,26.2,"{""family_household_pct"": 73.3, ""non_family_household_pct"": 27.8, ""lone_person_pct"": 25.6}"
Avonside,NSW,SAL10118,2021,47.0,2250.0,2.7,98.0,13.7,"{""family_household_pct"": 92.2, ""non_family_household_pct"": 9.8, ""lone_person_pct"": 5.9}"
Awaba,NSW,SAL10119,2021,40.0,1726.0,2.8,89.4,8.5,"{""family_household_pct"": 74.6, ""non_family_household_pct"": 26.1, ""lone_person_pct"": 19.7}"
Aylmerton,NSW,SAL10120,2021,51.0,1825.0,2.3,88.5,11.5,"{""family_household_pct"": 74.4, ""non_family_household_pct"": 28.2, ""lone_person_pct"": 29.5}"
Baan Baa,NSW,SAL10121,2021,47.0,1770.0,2.5,71.2,21.2,"{""family_household_pct"": 92.3, ""non_family_household_pct"": 11.5, ""lone_person_pct"": 11.5}"
Babinda,NSW,SAL10122,2021,59.0,1875.0,1.9,80.0,0.0,"{""family_household_pct"": 30.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Babyl Creek,NSW,SAL10123,2021,64.0,575.0,1.0,100.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 100.0}"
Back Creek,NSW,SAL10124,2021,29.0,2250.0,3.4,0.0,36.4,"{""family_household_pct"": 118.2, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Back Creek,NSW,SAL10125,2021,42.0,2250.0,3.6,44.4,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Back Creek,NSW,SAL10126,2021,62.0,1375.0,2.4,45.5,0.0,"{""family_household_pct"": 45.5, ""non_family_household_pct"": 27.3, ""lone_person_pct"": 27.3}"
Back Creek,NSW,SAL10127,2021,60.0,900.0,1.8,0.0,0.0,"{""family_household_pct"": 0.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Back Creek,NSW,SAL10128,2021,69.0,575.0,1.0,,,
Back Creek,NSW,SAL10129,2021,48.0,1062.0,2.6,0.0,100.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Back Forest,NSW,SAL10130,2021,56.0,1374.0,2.9,93.8,0.0,"{""family_household_pct"": 87.5, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Backmede,NSW,SAL10131,2021,46.0,1843.0,2.8,71.4,17.9,"{""family_household_pct"": 80.4, ""non_family_household_pct"": 16.1, ""lone_person_pct"": 8.9}"
Backwater,NSW,SAL10132,2021,64.0,900.0,1.9,50.0,0.0,"{""family_household_pct"": 70.0, ""non_family_household_pct"": 60.0, ""lone_person_pct"": 60.0}"
Badgerys Creek,NSW,SAL10133,2021,40.0,1271.0,3.0,60.8,37.3,"{""family_household_pct"": 80.4, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 7.8}"
Badja,NSW,SAL10134,2021,74.0,1187.0,1.7,,,
Baerami,NSW,SAL10135,2021,48.0,1208.0,2.5,77.1,17.1,"{""family_household_pct"": 77.1, ""non_family_household_pct"": 17.1, ""lone_person_pct"": 22.9}"
Baerami Creek,NSW,SAL10136,2021,41.0,1416.0,2.6,0.0,0.0,"{""family_household_pct"": 81.8, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Bagnoo,NSW,SAL10137,2021,59.0,1437.0,2.3,100.0,40.0,"{""family_household_pct"": 80.0, ""non_family_household_pct"": 53.3, ""lone_person_pct"": 53.3}"
Bago,NSW,SAL10138,2021,37.0,2083.0,3.4,62.5,0.0,"{""family_household_pct"": 68.8, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Bagotville,NSW,SAL10139,2021,50.0,1749.0,2.4,69.6,0.0,"{""family_household_pct"": 60.9, ""non_family_household_pct"": 13.0, ""lone_person_pct"": 30.4}"
Bakers Creek,NSW,SAL10140,2021,52.0,1375.0,2.6,91.7,0.0,"{""family_household_pct"": 91.7, ""non_family_household_pct"": 25.0, ""lone_person_pct"": 0.0}"
Bakers Creek,NSW,SAL10141,2021,57.0,366.0,1.5,81.8,0.0,"{""family_household_pct"": 45.5, ""non_family_household_pct"": 100.0, ""lone_person_pct"": 36.4}"
Bakers Creek,NSW,SAL10142,2021,59.0,1937.0,2.3,0.0,0.0,"{""family_household_pct"": 100.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Bakers Swamp,NSW,SAL10143,2021,49.0,1791.0,2.2,73.9,17.4,"{""family_household_pct"": 56.5, ""non_family_household_pct"": 43.5, ""lone_person_pct"": 56.5}"
Balaclava,NSW,SAL10144,2021,40.0,2023.0,2.9,75.5,22.4,"{""family_household_pct"": 76.0, ""non_family_household_pct"": 23.0, ""lone_person_pct"": 20.9}"
Balala,NSW,SAL10145,2021,56.0,1375.0,2.2,80.4,19.6,"{""family_household_pct"": 78.4, ""non_family_household_pct"": 23.5, ""lone_person_pct"": 23.5}"
Balcolyn,NSW,SAL10146,2021,43.0,1525.0,2.5,77.1,23.1,"{""family_household_pct"": 72.2, ""non_family_household_pct"": 28.1, ""lone_person_pct"": 25.7}"
Bald Blair,NSW,SAL10147,2021,34.0,1416.0,3.1,40.0,15.0,"{""family_household_pct"": 75.0, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Bald Hills,NSW,SAL10148,2021,44.0,1487.0,2.7,89.7,9.5,"{""family_household_pct"": 82.8, ""non_family_household_pct"": 15.5, ""lone_person_pct"": 16.4}"
Bald Nob,NSW,SAL10149,2021,44.0,1375.0,2.7,57.1,57.1,"{""family_household_pct"": 114.3, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
Bald Ridge,NSW,SAL10150,2021,25.0,1574.0,2.5,0.0,0.0,"{""family_household_pct"": 83.3, ""non_family_household_pct"": 0.0, ""lone_person_pct"": 0.0}"
